stimulus_name,youtube_id,start_ms,end_ms,start_sec,end_sec,duration_sec
vggtest_---g-f_I2yQ_1000_11000,---g-f_I2yQ,1000,11000,1.0,11.0,10.0
vggtest_--U7joUcTCo_0_10000,--U7joUcTCo,0,10000,0.0,10.0,10.0
vggtest_--i-y1v8Hy8_0_10000,--i-y1v8Hy8,0,10000,0.0,10.0,10.0
vggtest_-0pJqpNjft4_267000_277000,-0pJqpNjft4,267000,277000,267.0,277.0,10.0
vggtest_-0vPFx-wRRI_30000_40000,-0vPFx-wRRI,30000,40000,30.0,40.0,10.0
vggtest_-0yRK50zyTI_30000_40000,-0yRK50zyTI,30000,40000,30.0,40.0,10.0
vggtest_-1BtY81-D54_130000_140000,-1BtY81-D54,130000,140000,130.0,140.0,10.0
vggtest_-1EXhfqLLwQ_150000_160000,-1EXhfqLLwQ,150000,160000,150.0,160.0,10.0
vggtest_-2sOH8XovEE_484000_494000,-2sOH8XovEE,484000,494000,484.0,494.0,10.0
vggtest_-3-4qmWSJXU_30000_40000,-3-4qmWSJXU,30000,40000,30.0,40.0,10.0
vggtest_-3Kv4fdm7Uk_30000_40000,-3Kv4fdm7Uk,30000,40000,30.0,40.0,10.0
vggtest_-3RH8_aeZkk_105000_115000,-3RH8_aeZkk,105000,115000,105.0,115.0,10.0
vggtest_-3b9gwBYXp8_503000_513000,-3b9gwBYXp8,503000,513000,503.0,513.0,10.0
vggtest_-3z5mFRgbxc_30000_40000,-3z5mFRgbxc,30000,40000,30.0,40.0,10.0
vggtest_-4kkGS4-qVM_10000_20000,-4kkGS4-qVM,10000,20000,10.0,20.0,10.0
vggtest_-4pmCrSdMhg_30000_40000,-4pmCrSdMhg,30000,40000,30.0,40.0,10.0
vggtest_-4viN_EoxOA_0_10000,-4viN_EoxOA,0,10000,0.0,10.0,10.0
vggtest_-7IhwezUrUA_590000_600000,-7IhwezUrUA,590000,600000,590.0,600.0,10.0
vggtest_-7TanrCbmME_30000_40000,-7TanrCbmME,30000,40000,30.0,40.0,10.0
vggtest_-7YESdyyHVw_10000_20000,-7YESdyyHVw,10000,20000,10.0,20.0,10.0
vggtest_-7sg--aJdrc_39000_49000,-7sg--aJdrc,39000,49000,39.0,49.0,10.0
vggtest_-7tYmeOmsRg_58000_68000,-7tYmeOmsRg,58000,68000,58.0,68.0,10.0
vggtest_-8cgbhIR_pw_30000_40000,-8cgbhIR_pw,30000,40000,30.0,40.0,10.0
vggtest_-A1o1Egi20c_60000_70000,-A1o1Egi20c,60000,70000,60.0,70.0,10.0
vggtest_-BmjFZ1xu5Q_263000_273000,-BmjFZ1xu5Q,263000,273000,263.0,273.0,10.0
vggtest_-By6I234TSs_10000_20000,-By6I234TSs,10000,20000,10.0,20.0,10.0
vggtest_-CZ1LIc8aos_20000_30000,-CZ1LIc8aos,20000,30000,20.0,30.0,10.0
vggtest_-DnZ_ZY3lgA_160000_170000,-DnZ_ZY3lgA,160000,170000,160.0,170.0,10.0
vggtest_-HAoExLVs6Q_380000_390000,-HAoExLVs6Q,380000,390000,380.0,390.0,10.0
vggtest_-HMEhGV38GM_216000_226000,-HMEhGV38GM,216000,226000,216.0,226.0,10.0
vggtest_-IZbvEO9wzU_30000_40000,-IZbvEO9wzU,30000,40000,30.0,40.0,10.0
vggtest_-Igq1W20Gi8_0_10000,-Igq1W20Gi8,0,10000,0.0,10.0,10.0
vggtest_-Ii-kc3ufho_106000_116000,-Ii-kc3ufho,106000,116000,106.0,116.0,10.0
vggtest_-JGpAlLrSD0_458000_468000,-JGpAlLrSD0,458000,468000,458.0,468.0,10.0
vggtest_-JUBdOr8Hes_30000_40000,-JUBdOr8Hes,30000,40000,30.0,40.0,10.0
vggtest_-JUhUI_KvUI_26000_36000,-JUhUI_KvUI,26000,36000,26.0,36.0,10.0
vggtest_-K-ccLMFE5M_245000_255000,-K-ccLMFE5M,245000,255000,245.0,255.0,10.0
vggtest_-K1BRF6qng8_30000_40000,-K1BRF6qng8,30000,40000,30.0,40.0,10.0
vggtest_-Lmibx_Iu_E_173000_183000,-Lmibx_Iu_E,173000,183000,173.0,183.0,10.0
vggtest_-M6K3QoHh40_30000_40000,-M6K3QoHh40,30000,40000,30.0,40.0,10.0
vggtest_-MIwX2AaUas_158000_168000,-MIwX2AaUas,158000,168000,158.0,168.0,10.0
vggtest_-N00SskHxS4_529000_539000,-N00SskHxS4,529000,539000,529.0,539.0,10.0
vggtest_-OAyRsvFGgc_30000_40000,-OAyRsvFGgc,30000,40000,30.0,40.0,10.0
vggtest_-PvlrLjIAYo_9000_19000,-PvlrLjIAYo,9000,19000,9.0,19.0,10.0
vggtest_-PyXfNxnHKs_110000_120000,-PyXfNxnHKs,110000,120000,110.0,120.0,10.0
vggtest_-Qowmc0P9ic_34000_44000,-Qowmc0P9ic,34000,44000,34.0,44.0,10.0
vggtest_-Sd-j0rKeKw_30000_40000,-Sd-j0rKeKw,30000,40000,30.0,40.0,10.0
vggtest_-T8L4SVm3u0_1000_11000,-T8L4SVm3u0,1000,11000,1.0,11.0,10.0
vggtest_-Tok_g_jgE0_268000_278000,-Tok_g_jgE0,268000,278000,268.0,278.0,10.0
vggtest_-VLOm8cJZRI_70000_80000,-VLOm8cJZRI,70000,80000,70.0,80.0,10.0
vggtest_-VevyIayGM0_0_10000,-VevyIayGM0,0,10000,0.0,10.0,10.0
vggtest_-Vo4CAMX26U_30000_40000,-Vo4CAMX26U,30000,40000,30.0,40.0,10.0
